,Words (split by space),anger,disgust,fear,joy,sad,surprise
29,whistle blowing web site exposed,0.107412,0.088011,0.221569,0.264726,0.165796,0.152485
30,growing unarmed battalion in qaeda army is using internet to get the message out,0.098663,0.075964,0.130477,0.532105,0.098138,0.064653
31,royal rescues presidential hopes with commanding performance,0.021297,0.008523,0.042594,0.708847,0.008523,0.210216
32,minister slams airlines on carbon,0.180042,0.166846,0.105815,0.105164,0.311377,0.130756
33,audio slide show a love story lasting years,0.055931,0.036333,0.077828,0.207235,0.360193,0.262480
34,fully cooked chicken strips recalled,0.038833,0.008631,0.290186,0.403730,0.096306,0.162314
35,madonna adoption bid approved,0.000000,0.003145,0.046741,0.591803,0.151637,0.206674
36,rowdy fans ejected from the open,0.035448,0.020192,0.063237,0.530588,0.189795,0.160740
37,snow wreaks havoc in east midwest,0.120164,0.027146,0.291900,0.018228,0.216571,0.325991
38,the energy challenge exotic visions how to cool a planet maybe,0.091547,0.116745,0.106433,0.249742,0.080066,0.355467
39,libby defense upsets judge rests,0.227923,0.136683,0.067429,0.065358,0.145389,0.357219
40,briton admits u s bomb plot role,0.146846,0.128852,0.256429,0.078953,0.240111,0.148809
41,routine mission turns into hunt for missing comrade,0.116625,0.004556,0.226102,0.220971,0.225880,0.205866
42,ex suspect slams anti terror laws,0.106892,0.049185,0.330167,0.261667,0.146753,0.105336
43,federer overcomes a ragged start,0.000000,0.000000,0.023575,0.411033,0.219697,0.345695
44,investigation of child porn site hits nations,0.174143,0.222155,0.099840,0.214386,0.163619,0.125856
45,bangladesh ends curfew amid unrest,0.016138,0.018821,0.199567,0.314696,0.169169,0.281608
46,sarkozy comfort zone offers a royal opportunity,0.097231,0.042136,0.025920,0.640353,0.006490,0.187869
47,sick hearts switch on a fetal gene,0.031703,0.095327,0.143320,0.178124,0.204805,0.346721
48,chinese president arrives in mozambique african tour nearly over,0.000000,0.000000,0.014943,0.698804,0.000000,0.286252
49,homemade bombs kill on indian train,0.158039,0.100465,0.232268,0.000000,0.382081,0.127148
50,france rejects rwandan investigators,0.184408,0.090832,0.285876,0.153076,0.172980,0.112828
51,at libby trial russert of nbc gives and gets,0.075198,0.077189,0.105873,0.201277,0.228439,0.312025
52,rare optimism as north korea talks reach crossroads,0.143281,0.024048,0.219430,0.255094,0.191057,0.167090
53,for women nothing s like the smell of men s sweat,0.000000,0.186523,0.000123,0.152751,0.000000,0.660602
54,reports harvard set to name first female president,0.066886,0.008525,0.031217,0.435879,0.165792,0.291701
55,justin timberlake cameron diaz announce split,0.014566,0.000000,0.224110,0.370892,0.258141,0.132290
56,hastert sorry for scandal but not quitting,0.122782,0.185962,0.049240,0.183847,0.248909,0.209259
57,world s oldest newspaper now exists only online,0.197940,0.187444,0.168992,0.014007,0.243052,0.188565
58,houston she s got some problems,0.000000,0.000000,0.077793,0.429423,0.071556,0.421229
59,firms on alert for letter bombs,0.024764,0.004355,0.241984,0.115862,0.227432,0.385603
60,study africa s internet gap getting wider,0.092888,0.145266,0.235254,0.138690,0.303919,0.083982
61,siesta cuts risk of heart disease death study finds,0.000000,0.006256,0.140689,0.409189,0.082316,0.361550
62,spain ahead although nadal is out,0.000000,0.000000,0.008572,0.569190,0.194706,0.227532
63,runway making good without making nice,0.030661,0.010214,0.027888,0.619471,0.129792,0.181973
64,russia plans new icbms nuclear subs,0.129005,0.061874,0.314366,0.053326,0.101949,0.339479
65,no buyer in sight for napster,0.153032,0.129687,0.097159,0.240788,0.150427,0.228907
66,outcry at n korea nuclear test,0.180401,0.026064,0.384067,0.188554,0.123195,0.097719
67,ipod good for video games,0.000000,0.000000,0.002493,0.694006,0.000000,0.303501
68,taking the plunge,0.024635,0.008537,0.160620,0.263153,0.123215,0.419840
69,england include giles in wc squad,0.094728,0.101651,0.199701,0.093794,0.393469,0.116659
70,beyonce copyright claim rejected,0.038507,0.063656,0.055912,0.318007,0.095856,0.428062
71,london market a shopping dining haven,0.047392,0.032722,0.142968,0.474889,0.223542,0.078487
72,pm havana deal a good experiment,0.246067,0.121193,0.065614,0.153014,0.231854,0.182258
73,dozens killed in baghdad bombing,0.151360,0.078819,0.288637,0.042816,0.383861,0.054507
74,damaged japanese whaling ship may resume hunting off antarctica,0.093721,0.114666,0.157317,0.260644,0.198786,0.174866
75,un nuclear watchdog slashes iran aid,0.185109,0.052673,0.247286,0.067224,0.260322,0.187386
76,toyota s scion parks in second life,0.052320,0.048789,0.117989,0.348796,0.191372,0.240734
77,telecoms giant slashes jobs,0.004544,0.000000,0.238082,0.353129,0.226927,0.177319
78,canete wins inaugural joburg open,0.026859,0.019546,0.059769,0.767881,0.009763,0.116181
79,yahoo s mission quest,0.099122,0.121518,0.147262,0.205882,0.198559,0.227657
80,weekly nielsen will lost find its way back,0.095775,0.016442,0.161927,0.301144,0.384554,0.040157
81,u s online love brokers eye china,0.095451,0.135355,0.274970,0.153348,0.232339,0.108538
82,amish schoolhouse torn down,0.062523,0.036570,0.255901,0.082880,0.420069,0.142057
83,china cheney shores up the trilateral alliance,0.091964,0.007835,0.273793,0.278710,0.057177,0.290521
84,g yen skates by yuan singled out,0.022228,0.025141,0.157895,0.265096,0.335114,0.194525
85,friendly fire pilot experienced,0.036917,0.084964,0.389025,0.000000,0.172213,0.316881
86,updates on world s top stories,0.002106,0.002083,0.647994,0.016181,0.004832,0.326804
87,diplomat acknowledges us arrogance in iraq,0.234744,0.107707,0.176529,0.048876,0.356646,0.075499
88,madonna s new baby s daddy didn t realize adoption was for good,0.065842,0.042860,0.089956,0.431304,0.057491,0.312547
89,appeal by chinese researcher for times may soon be heard,0.000000,0.008636,0.037834,0.478679,0.093100,0.381750
90,snowbirds shortening their florida stays,0.030798,0.030798,0.053594,0.528508,0.292389,0.063913
91,oxfam action needed for chad,0.125900,0.047479,0.154685,0.321205,0.072801,0.277930
92,bush adamant on troops to iraq,0.229245,0.144623,0.289412,0.033084,0.253708,0.049928
93,ukraine gas deal marred by fears,0.135548,0.000000,0.274329,0.198552,0.198802,0.192769
94,shoplifters choice police or t shirt of shame,0.094727,0.085230,0.286253,0.212522,0.102946,0.218321
95,travel chaos as heavy snow hits uk,0.035490,0.032098,0.384602,0.038749,0.386269,0.122792
96,tow truck drivers accused of stealing cars,0.037506,0.088686,0.089917,0.390255,0.240103,0.153532
97,joseph wambaugh s new start,0.000000,0.000000,0.027459,0.571744,0.149492,0.251304
98,human error caused helios crash,0.094496,0.069261,0.126749,0.020312,0.649611,0.039571
99,charts is your city lean or lethargic,0.015395,0.021549,0.112400,0.369552,0.048325,0.432780
100,st louis poised for entertainment upswing,0.004929,0.000000,0.054140,0.564110,0.027079,0.349743
101,ivrea journal in italian town a civics lesson from pelting neighbors,0.082819,0.018043,0.409836,0.113296,0.275973,0.100034
102,review virtual american idol hits right notes,0.000000,0.000000,0.002447,0.664130,0.005606,0.327817
103,squadron apologies over friendly fire death,0.100187,0.063443,0.270546,0.000000,0.413605,0.152219
104,the breast cancer breakthrough saving women a year,0.019887,0.015511,0.261144,0.331313,0.175027,0.197118
105,abbas rejects temporary state,0.236072,0.155869,0.374807,0.017576,0.165985,0.049691
106,iraqi forces detain official suspected in shia conspiracy,0.119733,0.090948,0.161071,0.086989,0.444254,0.097004
107,congressman rebukes u s allies for lack of support in afghanistan,0.143103,0.102309,0.262986,0.167302,0.256866,0.067435
108,easy ways to really save,0.005097,0.025391,0.086438,0.350561,0.032263,0.500251
109,real suffer carlos injury setback,0.000000,0.000000,0.132240,0.592895,0.093296,0.181568
110,marijuana may stave off alzheimer s,0.022251,0.000000,0.088818,0.341660,0.155172,0.392099
111,smokestacks in a white wilderness divide iceland,0.028220,0.065477,0.302470,0.238858,0.125040,0.239933
112,paris journal smoking no longer tres chic in france,0.134850,0.082383,0.365708,0.168820,0.163499,0.084739
113,cher s dress car bed have new owners,0.024020,0.020281,0.080700,0.464519,0.181503,0.228978
114,hungarian opposition calls for vote after violence escalates,0.190207,0.090524,0.269529,0.172115,0.104662,0.172963
115,freed kidnap suspect my terror at police raid,0.149292,0.112640,0.448377,0.059464,0.171296,0.058930
116,rockers big winners at brit awards,0.000000,0.008283,0.053788,0.639692,0.000000,0.298238
117,cia leak trial summary,0.162878,0.064345,0.211159,0.227755,0.191486,0.142377
118,experts issue new heart disease guidelines for women,0.000000,0.000000,0.301964,0.266164,0.141386,0.290486
119,in god s name religion based tax breaks housing to paychecks to books,0.210729,0.067059,0.123231,0.086835,0.158860,0.353286
120,snow causes transport chaos in britain,0.053054,0.002559,0.349099,0.110916,0.337938,0.146435
121,injured sarwan to miss one dayers,0.032381,0.034784,0.130929,0.227532,0.131546,0.442828
122,study napping might help heart,0.000000,0.000000,0.058360,0.465977,0.033464,0.442199
123,tailors and housewives busy as muslims celebrate eid,0.014833,0.068605,0.073114,0.467427,0.243141,0.132880
124,malaysia aggressively wooing tourists,0.021960,0.016345,0.204432,0.438912,0.155343,0.163008
125,creating a whole album in a month,0.032785,0.035375,0.145634,0.194739,0.214211,0.377257
126,wellcome awards anti fat research,0.103081,0.210408,0.108729,0.163015,0.204684,0.210083
127,can t do this anymore not jack,0.139348,0.030136,0.170772,0.294600,0.207217,0.157927
128,iran s boast on uranium enrichment is put to test,0.136659,0.045560,0.424802,0.120544,0.070670,0.201766
129,iraq closes borders with syria and iran,0.125654,0.097123,0.232415,0.202679,0.161002,0.181127
130,in clue to addiction brain injury halts smoking,0.034499,0.063204,0.260285,0.279844,0.139956,0.222212
131,manning inspires giants to victory in dallas,0.050083,0.057913,0.073700,0.539290,0.172252,0.106761
132,research supports medicinal marijuana,0.004338,0.000000,0.124349,0.560808,0.045588,0.264917
133,iraq insurgents attack us base,0.173745,0.079709,0.375997,0.000000,0.344863,0.025686
134,fire extinguisher part of tennessee execution kit,0.103038,0.050323,0.327509,0.004835,0.337127,0.177167
135,city sets up ice storm shelters,0.055008,0.010145,0.313093,0.296375,0.165837,0.159542
136,gently weeps lyrics sheet up for sale,0.074925,0.000000,0.062765,0.521433,0.050423,0.290454
137,cholesterol link in diabetes study,0.000000,0.055501,0.212873,0.162499,0.084044,0.485083
138,zoo polar bear to have root canal,0.262785,0.037654,0.178941,0.257269,0.128722,0.134630
139,howard slams obama on iraq policy,0.032932,0.051603,0.108387,0.479504,0.103857,0.223718
140,fight starts over hpv vaccine,0.162182,0.025585,0.199071,0.232454,0.249750,0.130957
141,obama announces presidential bid,0.041098,0.058758,0.046808,0.428315,0.242121,0.182900
142,another death at georgia aquarium,0.132547,0.036172,0.053309,0.189108,0.414937,0.173928
143,johnny depp to make movie of spy poisoning,0.000000,0.029430,0.133137,0.406428,0.072908,0.358097
144,pap test a mainstay against cervical cancer may be fading,0.079589,0.039184,0.088635,0.436920,0.110370,0.245302
145,boy allegedly told to kill by mom gives up,0.064104,0.079236,0.238292,0.208119,0.254639,0.155610
146,catania punished for fan violence,0.120484,0.091896,0.211581,0.148305,0.256968,0.170765
147,the summit a slap in the face of the palestinians,0.063542,0.017353,0.345496,0.153038,0.130774,0.289797
148,dead bachelors in remote china still find wives,0.032661,0.002466,0.169412,0.216364,0.375861,0.203235
149,boy missing since found alive,0.003460,0.000000,0.193427,0.334568,0.171800,0.296745
150,girl left comatose after dental visit dies,0.019803,0.026673,0.086116,0.409332,0.184760,0.273317
151,fine wines in british columbia,0.079790,0.085955,0.200983,0.184467,0.301704,0.147101
152,bollywood s brangelina engaged,0.099117,0.121522,0.147251,0.205875,0.198557,0.227677
153,north korea ready to discuss nuke disarmament,0.026701,0.010425,0.276361,0.425036,0.115576,0.145901
154,action intensity boosts vision,0.071319,0.069408,0.087239,0.280196,0.006991,0.484848
155,stonehenge workers village found,0.038760,0.099288,0.107032,0.175938,0.176687,0.402295
156,scientists tout cocoa s health benefits,0.030916,0.011586,0.038640,0.495860,0.047645,0.375352
157,can north korea be trusted,0.062180,0.006042,0.178776,0.488761,0.045847,0.218395
158,trailblazing trio protects city by the bay,0.105741,0.084041,0.085008,0.270584,0.169222,0.285404
159,ganguly handed india squad call up,0.049563,0.021852,0.161087,0.261855,0.202956,0.302686
160,beauticians cut curl offer stroke prevention info,0.023169,0.000000,0.248983,0.322408,0.189014,0.216426
161,studios sign off on movie downloads,0.022658,0.012894,0.073012,0.488158,0.146985,0.256293
162,global web of suspects in child rape download,0.131728,0.145641,0.110349,0.284489,0.105372,0.222420
163,libby prosecutors await judge s rulings,0.224617,0.171420,0.097457,0.024758,0.220372,0.261376
164,police probe church fires half mile apart,0.168481,0.042174,0.244366,0.190123,0.272807,0.082049
165,second hanging also went awry iraq tape shows,0.105449,0.115604,0.164458,0.168600,0.183744,0.262145
166,stepping back in time at ski resort,0.096764,0.073517,0.246771,0.265672,0.181350,0.135926
167,iraqi journalists add laws to list of dangers,0.125462,0.070302,0.202790,0.250133,0.134734,0.216578
168,boy scouts blamed for starting wildfire,0.073498,0.043061,0.295041,0.081851,0.277021,0.229528
169,report links humans to global warming,0.138357,0.091370,0.089147,0.160418,0.283068,0.237640
170,stenson defends his title at dubai,0.028159,0.020938,0.037536,0.734969,0.071930,0.106468
171,iraqi linked to sunni bloc is held in plot military says,0.177272,0.062830,0.258324,0.230729,0.137883,0.132962
172,china launches two satellites into orbit,0.002137,0.000000,0.010683,0.754396,0.008546,0.224239
173,north africa feared as staging ground for terror,0.143118,0.048697,0.328967,0.138775,0.214908,0.125536
174,breast cancer drug promises hope,0.005028,0.000000,0.225527,0.448970,0.125300,0.195175
175,mortar assault leaves at least dead,0.114191,0.032853,0.295408,0.000000,0.482797,0.074752
176,building a memorial to a son one child at a time,0.055147,0.037769,0.207704,0.140107,0.328878,0.230395
177,northeaster cancels flights shuts schools,0.113776,0.048350,0.301192,0.063960,0.381938,0.090783
178,india to test new nuclear missile,0.200514,0.062251,0.444267,0.084633,0.108080,0.100254
179,dell to cut bonuses trim management,0.023087,0.000000,0.043956,0.488825,0.124809,0.319323
180,uk workers on alert for letter bombs,0.046138,0.043928,0.210155,0.162250,0.072621,0.464908
181,storm leaves behind major travel troubles,0.107966,0.062299,0.313800,0.024368,0.410902,0.080665
182,rupert murdoch s secret tivo,0.048975,0.039044,0.053488,0.101595,0.283450,0.473449
183,house passes anti terrorism measure manila,0.086454,0.047975,0.176817,0.285943,0.263775,0.139036
184,genghis khan beer mongolia grimaces,0.004820,0.000000,0.230715,0.429131,0.095278,0.240055
185,youtube founders split m payout,0.007944,0.000000,0.015887,0.449778,0.148262,0.378129
186,former teacher poses for playboy,0.121331,0.101085,0.171760,0.234206,0.219291,0.152327
187,madonna files adoption papers in malawi,0.058020,0.033091,0.046615,0.516807,0.062732,0.282736
188,eye on cosmos is lost to short circuit on hubble,0.032927,0.077368,0.148643,0.335632,0.226089,0.179341
189,all african amputee football games kick off,0.000000,0.000000,0.000000,0.428689,0.100500,0.470812
190,forecasters expect toasty,0.004820,0.000000,0.230715,0.429131,0.095278,0.240055
191,corn stoves popping up in u s homes,0.095179,0.021155,0.350562,0.058737,0.364063,0.110304
192,chvez threatens to jail violators of price controls,0.230225,0.096686,0.108886,0.275294,0.087360,0.201549
193,scientists discover miracle in the depths,0.026663,0.031370,0.163615,0.355062,0.098547,0.324742
194,google unveils do it yourself search engine,0.004524,0.008391,0.116008,0.324930,0.157929,0.388217
195,ready to eat chicken breasts recalled due to suspected listeria,0.063285,0.013174,0.214642,0.418821,0.056068,0.234010
196,teen allegedly armed by mom turns self in,0.119145,0.057511,0.118432,0.189091,0.305668,0.210152
197,town packs gym to mourn killed in fire,0.142574,0.075783,0.251406,0.047730,0.441680,0.040826
198,cocoa could be antidote to age related diseases says new study,0.000000,0.000000,0.170152,0.179465,0.301364,0.349018
199,roundup protests erupt despite state of siege in guinea,0.205007,0.024239,0.335780,0.173761,0.169382,0.091831
200,bush authorized iranians arrest in iraq rice says,0.229344,0.118090,0.295205,0.035938,0.234129,0.087295
201,anglican and catholic churches could merge,0.029412,0.017697,0.143960,0.419103,0.097751,0.292078
202,cousin gunman was srebrenica survivor,0.071702,0.056737,0.211743,0.106704,0.229705,0.323409
203,australia tells bush to speed up guantanamo trial,0.136598,0.090630,0.203048,0.203683,0.212094,0.153947
204,european space agency,0.004049,0.000000,0.125249,0.405170,0.028814,0.436719
205,the secrets people reveal,0.044354,0.102498,0.102523,0.364529,0.141020,0.245076
206,news baby pandas baby pandas baby pandas,0.071748,0.101223,0.165921,0.135245,0.269373,0.256490
207,health canada issues advice on canned tuna,0.076562,0.037102,0.380850,0.204102,0.142050,0.159333
208,grammys ready to name winners,0.098013,0.017237,0.092799,0.562128,0.024852,0.204970
209,asean urges north korea resolution,0.134495,0.016362,0.267540,0.359044,0.038126,0.184433
210,rebels to join nepal parliament,0.184854,0.034426,0.270073,0.237759,0.142853,0.130036
211,rice u s won t pull plug on iraq,0.201545,0.165311,0.260012,0.070415,0.184065,0.118652
212,anglicans rebuke u s branch on same sex unions,0.171900,0.178024,0.243937,0.125697,0.208620,0.071822
213,somalia declares state of emergency,0.094753,0.019566,0.466045,0.107535,0.217842,0.094259
214,hussein co defendants executed,0.106377,0.087584,0.180770,0.170520,0.313803,0.140946
215,james brown s year old son left out of will,0.012161,0.003035,0.088827,0.644192,0.051955,0.199830
216,ms adds office to vista coupon program,0.011658,0.060601,0.011658,0.425482,0.117124,0.373477
217,britain to limit workers from romania bulgaria,0.049924,0.013514,0.183312,0.151421,0.330116,0.271713
218,us airways boosts bid for delta,0.000000,0.175384,0.000480,0.317362,0.043363,0.463410
219,hpv vaccination stirs heated debate in america,0.195726,0.102013,0.201051,0.075476,0.309641,0.116093
220,full recovery expected for marathon winner,0.042278,0.000000,0.217782,0.409774,0.205742,0.124424
221,beckham won t play again for real,0.195500,0.245129,0.089839,0.195706,0.143485,0.130341
222,cultural revolutionary the ipod is five,0.041227,0.003991,0.109888,0.379327,0.056941,0.408627
223,village buried by inches of snow,0.022560,0.036768,0.144764,0.160050,0.208294,0.427563
224,mountain glaciers melting faster united nations says,0.079746,0.020446,0.066622,0.364847,0.214075,0.254263
225,ice storm smacks roads power,0.059804,0.022343,0.465163,0.022243,0.351887,0.078560
226,ex border patrol agent beaten in prison,0.191926,0.044445,0.143034,0.096782,0.213513,0.310300
227,israel to install cameras to show live mughrabi footage,0.200144,0.100462,0.166507,0.093330,0.301024,0.138532
228,latest updates on world s top stories,0.023665,0.023387,0.454842,0.183736,0.054499,0.259871
229,lily allen wins web music award,0.000000,0.000000,0.000000,0.796423,0.000000,0.203577
230,rowling heartbroken euphoric at potter s end,0.093027,0.005898,0.107017,0.302550,0.297911,0.193597
231,hamas fatah leaders pledge to meet until they reach agreement,0.016734,0.028309,0.150574,0.469850,0.080836,0.253697
232,new vaccine for cervical cancer could prove useful in men too,0.038359,0.028795,0.177850,0.123264,0.224893,0.406839
233,mbeki world cup planning on track,0.039484,0.002719,0.336156,0.224533,0.127915,0.269193
234,money makeovers,0.011212,0.000000,0.220749,0.393758,0.099249,0.275032
235,punter charged with stabbing asks to live outside state,0.169901,0.117335,0.340152,0.016441,0.227945,0.128226
236,emi warns on profits boss goes,0.074821,0.087094,0.185696,0.276742,0.171963,0.203684
237,gunman fine before shooting,0.109613,0.066054,0.230623,0.058035,0.309508,0.226166
238,svindal claims are golden double,0.091012,0.101168,0.160002,0.380341,0.169375,0.098102
239,ethiopia readies for millennium all its own,0.000000,0.026965,0.020156,0.449490,0.080874,0.422515
240,mancuso sparks u s celebrations,0.130888,0.032124,0.275377,0.239193,0.138864,0.183555
241,nasa spacecraft to measure sun,0.077203,0.032656,0.048324,0.307001,0.112881,0.421935
242,teen repellent inventor wins infamous prize,0.045608,0.013470,0.032138,0.689280,0.085013,0.134490
243,peron held over s rights abuses,0.221469,0.070906,0.232013,0.177911,0.144025,0.153676
244,kim jong il bans japanese cars in north korea,0.062223,0.005976,0.178815,0.488772,0.045527,0.218687
245,canadians tracked in child porn ring,0.208363,0.267961,0.137660,0.076544,0.196872,0.112599
246,ryan o neal injured son s girlfriend,0.037961,0.109989,0.138697,0.232039,0.210265,0.271048
247,messi makes barcelona squad return,0.017483,0.000000,0.043063,0.709099,0.060492,0.169863
248,brith airways baggage charges cause confusion,0.068617,0.039024,0.137982,0.193633,0.096345,0.464400
249,a film star in kampala conjuring aminos ghost,0.079023,0.166492,0.055616,0.314300,0.168533,0.216036
250,opponent is put on the spot over remarks about clinton,0.074583,0.051418,0.212990,0.266299,0.091172,0.303539
251,apple set for massive market gains,0.292925,0.030444,0.120548,0.000000,0.339500,0.216582
252,vista s hyped security will be tested,0.038373,0.008280,0.280167,0.365072,0.221111,0.086996
253,dating difficult for harry potter,0.062244,0.087281,0.088885,0.263668,0.281486,0.216436
254,uk letter bombs may be from extremist drivers,0.000000,0.008759,0.049928,0.439359,0.092965,0.408990
255,bush vows cooperation on health care,0.143783,0.085775,0.107669,0.377190,0.118129,0.167453
256,baby born on turnpike after dad misses exit,0.086095,0.223216,0.111106,0.033083,0.354120,0.192380
257,parachutist dies at bridge jump festival,0.017227,0.000000,0.169072,0.000000,0.451770,0.361931
258,citing spy agencies study democrats seek iraq changes,0.025151,0.136486,0.092317,0.282410,0.107041,0.356595
259,airlines uk airport runway unsafe,0.044688,0.000000,0.268999,0.085129,0.412910,0.188274
260,man gets second chance at space ride,0.016576,0.035401,0.101467,0.359985,0.215647,0.270925
261,archaeologists find remains of couple locked in a hug,0.045848,0.025867,0.012192,0.413004,0.101901,0.401189
262,study detects a gene linked to alzheimer s,0.129090,0.071273,0.222307,0.027417,0.249969,0.299945
263,weight loss drug to be sold over the counter,0.052332,0.068959,0.159049,0.184886,0.244076,0.290698
264,zach braff says he has mild depression,0.009568,0.039151,0.013438,0.395373,0.320039,0.222431
265,apple warns itunes users to wait on vista,0.211127,0.089635,0.011195,0.034967,0.239387,0.413688
266,guy sweat is babe magnet,0.000000,0.113196,0.004145,0.126743,0.091902,0.664014
267,in egypt rice speaks softly,0.194748,0.132921,0.149666,0.154094,0.197762,0.170809
268,ex jonbenet suspect child porn case dropped,0.216948,0.174687,0.131377,0.115688,0.116231,0.245068
269,court tv accused killer tells jury a love story,0.123713,0.084571,0.192634,0.153053,0.337622,0.108407
270,us to urge nato afghan spring offensive,0.151023,0.036623,0.265296,0.203949,0.177804,0.165305
271,texan allegedly joined somalia rebel plot,0.195891,0.113884,0.270224,0.148425,0.179646,0.091929
272,tensions as hungary marks uprising,0.015375,0.005125,0.170599,0.216222,0.386448,0.206230
273,idf shells lebanese army positions across northern border,0.225034,0.045053,0.352091,0.000000,0.331375,0.046447
274,north korea claims nuclear test,0.113288,0.022663,0.348146,0.264532,0.160456,0.090915
275,beckham to l a for the game not fame,0.000000,0.000000,0.000000,0.916366,0.000000,0.083634
276,hungary police tackle violent protestors,0.222221,0.073805,0.243665,0.207473,0.179301,0.073535
277,arthurs upsets robredo in first round at the st petersburg open,0.126877,0.059070,0.157735,0.251054,0.112406,0.292857
278,brazil air force cites faults and confusion in fatal crash,0.069586,0.000000,0.099563,0.155651,0.352787,0.322413
279,war is close ethiopia tells somali rebels,0.131959,0.030145,0.263117,0.198492,0.207173,0.169113
280,democrats plot bush troop increase censure,0.195436,0.170676,0.199316,0.107914,0.155996,0.170662
281,bangladesh ferry sinks dead,0.070548,0.002444,0.308393,0.056156,0.460707,0.101752
282,sale of chrysler possible,0.037312,0.087956,0.089431,0.323122,0.238267,0.223911
283,lawyer for deceased nazi era collaborator papon vows to bury him,0.226208,0.119980,0.175474,0.058239,0.341432,0.078667
284,mixed reaction to china s africa push,0.084419,0.067641,0.187373,0.188870,0.202368,0.269328
285,jon stewart mocks benefits of cnn s i,0.061011,0.079700,0.183547,0.269241,0.135578,0.270922
286,top colombia official resigns,0.122436,0.146814,0.097672,0.168223,0.373381,0.091473
287,toshiba portege r,0.004820,0.000000,0.230715,0.429131,0.095278,0.240055
288,luxury digs in south carolina s lowcountry,0.000000,0.007534,0.056318,0.306480,0.301925,0.327743
289,th person dies after receiving flu shot,0.011343,0.003774,0.267743,0.229124,0.281240,0.206776
290,bears watch as lead slips away,0.023365,0.009735,0.189076,0.520019,0.129130,0.128676
291,jail me i ate ivory coast chocolate,0.154428,0.065786,0.024686,0.417986,0.146382,0.190732
292,teacher charged with sex assault,0.168944,0.290565,0.070422,0.030123,0.241822,0.198124
293,college tuition continues climbing,0.077635,0.004707,0.200105,0.380393,0.132915,0.204245
294,matthews lays off turkey workers,0.053074,0.038199,0.120835,0.316723,0.270512,0.200658
295,space life search turns to tv,0.085379,0.066668,0.228274,0.173010,0.380516,0.066153
296,myspace welcomes french friends,0.013633,0.089702,0.058725,0.585151,0.036202,0.216587
297,hackers attack root servers,0.224743,0.149249,0.274323,0.058011,0.159373,0.134300
298,ice storm coating midwest,0.065591,0.010659,0.421565,0.023905,0.394649,0.083630
299,gop senators to force debate on troops in iraq,0.251042,0.130069,0.227650,0.031771,0.314775,0.044693
300,ex teacher guilty in nude pictures scheme,0.076349,0.082610,0.120841,0.000000,0.398176,0.322024
301,years on but couple still hugging,0.048547,0.034309,0.126400,0.347410,0.170273,0.273061
302,pats fourth quarter rally finishes chargers,0.132473,0.016625,0.258801,0.246736,0.089556,0.255810
